Original_Text,Ground_Truth,Predicted_Text,Original_Text_Length,is_latin,Original_Text_special_chars,Original_Text_unique_words,Baseline_Original_Text,Baseline_Predicted_Text,Enhanced_Predicted_Text,LLM_Predicted_Text,Voting_Hybrid_Predicted_Text,RefineBoost_Hybrid_Predicted_Text,Conditional_Hybrid_Predicted_Text
櫻井敦司/今井寿,,,8.0,False,8,1,櫻井敦司/今井寿,櫻井敦司/今井寿,櫻井敦司/今井寿,櫻井敦司/今井寿,櫻井敦司/今井寿,櫻井敦司/今井寿,櫻井敦司/今井寿
William Byrd,William Byrd,,12.0,True,0,2,William Byrd,William Byrd,William Byrd,William Byrd,William Byrd,William Byrd,William Byrd
Stephen Roslonek,Stephen Roslonek,,16.0,True,0,2,Stephen Roslonek,Stephen Roslonek,Stephen Roslonek,Stephen Roslonek,Stephen Roslonek,Stephen Roslonek,Stephen Roslonek
Raekwon Bailey,Raekwon Bailey,,14.0,True,0,2,Raekwon Bailey,Raekwon Bailey,Raekwon Bailey,Raekwon Bailey,Raekwon Bailey,Raekwon Bailey,Raekwon Bailey
Jerry Herman,Jerry Herman,,12.0,True,0,2,Jerry Herman,Jerry Herman,Jerry Herman,Jerry Herman,Jerry Herman,Jerry Herman,Jerry Herman
Martin Briley/Danny Tate,Martin Briley/Danny Tate,,24.0,False,1,3,Martin Briley/Danny Tate,Martin Briley/Danny Tate,Martin Briley/Danny Tate,Martin Briley/Danny Tate,Martin Briley/Danny Tate,Martin Briley/Danny Tate,Martin Briley/Danny Tate
Paramitha Rusady,Paramitha Rusady,,16.0,True,0,2,Paramitha Rusady,Paramitha Rusady,Paramitha Rusady,Paramitha Rusady,Paramitha Rusady,Paramitha Rusady,Paramitha Rusady
David Sitbon/Julien Reichen/Florentin Coquelin/Christoph Grossniklaus,David Sitbon/Julien Reichen/Florentin Coquelin/Christoph Grossniklaus,,69.0,False,3,5,David Sitbon/Julien Reichen/Florentin Coquelin/Christoph Grossniklaus,David Sitbon/Julien Reichen/Florentin Coquelin/Christoph Grossniklaus,David Sitbon/Julien Reichen/Florentin Coquelin/Christoph Grossniklaus,David Sitbon/Julien Reichen/Florentin Coquelin/Christoph Grossniklaus,David Sitbon/Julien Reichen/Florentin Coquelin/Christoph Grossniklaus,David Sitbon/Julien Reichen/Florentin Coquelin/Christoph Grossniklaus,David Sitbon/Julien Reichen/Florentin Coquelin/Christoph Grossniklaus
Jaquae Baker,Jaquae Baker,,12.0,True,0,2,Jaquae Baker,Jaquae Baker,Jaquae Baker,Jaquae Baker,Jaquae Baker,Jaquae Baker,Jaquae Baker
ボンジュール鈴木,,,8.0,False,8,1,ボンジュール鈴木,ボンジュール鈴木,ボンジュール鈴木,,ボンジュール鈴木,ボンジュール/鈴木,
Prznt,Prznt,,5.0,True,0,1,Prznt,Prznt,Prznt,Prznt,Prznt,Prznt,Prznt
Ganjina & Sarban,Ganjina & Sarban,,16.0,False,1,3,Ganjina & Sarban,Ganjina / Sarban,Ganjina/Sarban,Ganjina/Sarban,Ganjina/Sarban,Ganjina/Sarban,Ganjina/Sarban
"Rowe (Collier, Lang, Munoz & Ruelas)",,,36.0,False,5,6,"Rowe (Collier, Lang, Munoz & Ruelas)",Rowe (Collier/ Lang/ Munoz / Ruelas),Rowe (Collier/Lang/Munoz/Ruelas),Rowe/Collier/Lang/Munoz/Ruelas,Rowe/Collier/Lang/Munoz/Ruelas,Rowe (Collier/Lang/Munoz/Ruelas),Rowe/Collier/Lang/Munoz/Ruelas
Олег Попков,,,11.0,False,10,2,Олег Попков,Олег Попков,Олег Попков,,Олег Попков,Олег Попков,
ZUN/〜蒼〜,,,7.0,False,4,1,ZUN/〜蒼〜,ZUN/〜蒼〜,ZUN/〜蒼〜,,ZUN/〜蒼〜,ZUN/蒼,
Dave Audé/Crystal Waters/Neal Brian Conway,Dave Audé/Crystal Waters/Neal Brian Conway,,42.0,False,3,5,Dave Audé/Crystal Waters/Neal Brian Conway,Dave Audé/Crystal Waters/Neal Brian Conway,Dave Audé/Crystal Waters/Neal Brian Conway,Dave Audé/Crystal Waters/Neal Brian Conway,Dave Audé/Crystal Waters/Neal Brian Conway,Dave Audé/Crystal Waters/Neal Brian Conway,Dave Audé/Crystal Waters/Neal Brian Conway
Rauf Mirzaev/Faik Mirzaev,Rauf Mirzaev/Faik Mirzaev,,25.0,False,1,3,Rauf Mirzaev/Faik Mirzaev,Rauf Mirzaev/Faik Mirzaev,Rauf Mirzaev/Faik Mirzaev,Rauf Mirzaev/Faik Mirzaev,Rauf Mirzaev/Faik Mirzaev,Rauf Mirzaev/Faik Mirzaev,Rauf Mirzaev/Faik Mirzaev
Selwyn Birchwood/Selwyn Birchwood Music,Selwyn Birchwood,,39.0,False,1,4,Selwyn Birchwood/Selwyn Birchwood Music,Selwyn Birchwood/Selwyn Birchwood Music,Selwyn Birchwood/Selwyn Birchwood Music,Selwyn Birchwood,Selwyn Birchwood/Selwyn Birchwood Music,Selwyn Birchwood/Selwyn Birchwood Music,Selwyn Birchwood
Oscar Pearce/Copyright Control/Marlo Hoogstraten,Oscar Pearce/Marlo Hoogstraten,,48.0,False,2,4,Oscar Pearce/Copyright Control/Marlo Hoogstraten,Oscar Pearce/Copyright Control/Marlo Hoogstraten,Oscar Pearce/Copyright Control/Marlo Hoogstraten,Oscar Pearce/Marlo Hoogstraten,Oscar Pearce/Copyright Control/Marlo Hoogstraten,Oscar Pearce/Copyright Control/Marlo Hoogstraten,Oscar Pearce/Marlo Hoogstraten
Adam Jameček/Aleksandr Chemeze Odu,Adam Jameček/Aleksandr Chemeze Odu,,34.0,False,2,4,Adam Jameček/Aleksandr Chemeze Odu,Adam Jameček/Aleksandr Chemeze Odu,Adam Jameček/Aleksandr Chemeze Odu,Adam Jameček/Aleksandr Chemeze Odu,Adam Jameček/Aleksandr Chemeze Odu,Adam Jameček/Aleksandr Chemeze Odu,Adam Jameček/Aleksandr Chemeze Odu
Denver Dale,Denver Dale,,11.0,True,0,2,Denver Dale,Denver Dale,Denver Dale,Denver Dale,Denver Dale,Denver Dale,Denver Dale
Gary Novak/Carl Walker/Scott Kinsey/Timothy LeFebvre/Timothy Lefebvre,Gary Novak/Carl Walker/Scott Kinsey/Timothy LeFebvre/Timothy Lefebvre,,69.0,False,4,6,Gary Novak/Carl Walker/Scott Kinsey/Timothy LeFebvre/Timothy Lefebvre,Gary Novak/Carl Walker/Scott Kinsey/Timothy LeFebvre/Timothy Lefebvre,Gary Novak/Carl Walker/Scott Kinsey/Timothy LeFebvre/Timothy Lefebvre,Gary Novak/Carl Walker/Scott Kinsey/Timothy LeFebvre/Timothy Lefebvre,Gary Novak/Carl Walker/Scott Kinsey/Timothy LeFebvre/Timothy Lefebvre,Gary Novak/Carl Walker/Scott Kinsey/Timothy LeFebvre/Timothy Lefebvre,Gary Novak/Carl Walker/Scott Kinsey/Timothy LeFebvre/Timothy Lefebvre
Nikolay Bespalov,Nikolay Bespalov,,16.0,True,0,2,Nikolay Bespalov,Nikolay Bespalov,Nikolay Bespalov,Nikolay Bespalov,Nikolay Bespalov,Nikolay Bespalov,Nikolay Bespalov
Deborah Lurie,Deborah Lurie,,13.0,True,0,2,Deborah Lurie,Deborah Lurie,Deborah Lurie,Deborah Lurie,Deborah Lurie,Deborah Lurie,Deborah Lurie
LOS YANIS DE VILLA DE GPE.,LOS YANIS DE VILLA DE GPE.,,26.0,False,1,5,LOS YANIS DE VILLA DE GPE.,LOS YANIS DE VILLA DE GPE.,LOS YANIS DE VILLA DE GPE.,LOS YANIS DE VILLA DE GPE.,LOS YANIS DE VILLA DE GPE.,LOS YANIS DE VILLA DE GPE.,LOS YANIS DE VILLA DE GPE.
Claudio Monteverdi,Claudio Monteverdi,,18.0,True,0,2,Claudio Monteverdi,Claudio Monteverdi,Claudio Monteverdi,Claudio Monteverdi,Claudio Monteverdi,Claudio Monteverdi,Claudio Monteverdi
wondemu jira,wondemu jira,,12.0,True,0,2,wondemu jira,wondemu jira,wondemu jira,wondemu/jira,wondemu jira,wondemu jira,wondemu/jira
Luke Frizon/Tristan Barnes/Nelson Barnes,Luke Frizon/Tristan Barnes/Nelson Barnes,,40.0,False,2,4,Luke Frizon/Tristan Barnes/Nelson Barnes,Luke Frizon/Tristan Barnes/Nelson Barnes,Luke Frizon/Tristan Barnes/Nelson Barnes,Luke Frizon/Tristan Barnes/Nelson Barnes,Luke Frizon/Tristan Barnes/Nelson Barnes,Luke Frizon/Tristan Barnes/Nelson Barnes,Luke Frizon/Tristan Barnes/Nelson Barnes
YUMIN/Franken/Heondred,YUMIN/Franken/Heondred,,22.0,False,2,1,YUMIN/Franken/Heondred,YUMIN/Franken/Heondred,YUMIN/Franken/Heondred,YUMIN/Franken/Heondred,YUMIN/Franken/Heondred,YUMIN/Franken/Heondred,YUMIN/Franken/Heondred
"Exøtix,PSYKIDD,J4M",Exøtix/PSYKIDD/J4M,,18.0,False,3,1,"Exøtix,PSYKIDD,J4M",Exøtix/PSYKIDD/J4M,Exøtix/PSYKIDD/J4M,Exøtix/PSYKIDD/J4M,Exøtix/PSYKIDD/J4M,Exøtix/PSYKIDD/J4M,Exøtix/PSYKIDD/J4M
Sameer/Nadeem-Shravan,Sameer/Nadeem-Shravan,,21.0,False,2,1,Sameer/Nadeem-Shravan,Sameer/Nadeem-Shravan,Sameer/Nadeem/Shravan,Sameer/Nadeem-Shravan,Sameer/Nadeem-Shravan,Sameer/Nadeem/Shravan,Sameer/Nadeem-Shravan
Thomas F Blake,Thomas F Blake,,14.0,True,0,3,Thomas F Blake,Thomas F Blake,Thomas F Blake,Thomas F Blake,Thomas F Blake,Thomas F Blake,Thomas F Blake
Daniel Vernunft,Daniel Vernunft,,15.0,True,0,2,Daniel Vernunft,Daniel Vernunft,Daniel Vernunft,Daniel Vernunft,Daniel Vernunft,Daniel Vernunft,Daniel Vernunft
Udana Prageeth Jerome Silva,Udana/Prageeth/Jerome/Silva,,27.0,True,0,4,Udana Prageeth Jerome Silva,Udana Prageeth Jerome Silva,Udana Prageeth Jerome Silva,Udana Prageeth Jerome Silva,Udana Prageeth Jerome Silva,Udana Prageeth Jerome Silva,Udana Prageeth Jerome Silva
Kaka Barboza,Kaka Barboza,,12.0,True,0,2,Kaka Barboza,Kaka Barboza,Kaka Barboza,Kaka Barboza,Kaka Barboza,Kaka Barboza,Kaka Barboza
Deepin(디핀)/Liquor(리쿼)/김박첼라(Kim Park Challa),Deepin/Liquor/Kim Park Challa,,43.0,False,16,3,Deepin(디핀)/Liquor(리쿼)/김박첼라(Kim Park Challa),Deepin(디핀)/Liquor(리쿼)/김박첼라(Kim Park Challa),Deepin(디핀)/Liquor(리쿼)/김박첼라(Kim Park Challa),Deepin/Liquor/Kim Park Challa,Deepin(디핀)/Liquor(리쿼)/김박첼라(Kim Park Challa),Deepin(디핀)/Liquor(리쿼)/김박첼라(Kim Park Challa),Deepin/Liquor/Kim Park Challa
"Hampus Wiberg, Joshua Voß, Wiberg & eedion",Hampus Wiberg/Joshua Voß/Wiberg/eedion,,42.0,False,4,7,"Hampus Wiberg, Joshua Voß, Wiberg & eedion",Hampus Wiberg/ Joshua Voß/ Wiberg / eedion,Hampus Wiberg/Joshua Voß/Wiberg/eedion,Hampus Wiberg/Joshua Voß/Wiberg/eedion,Hampus Wiberg/Joshua Voß/Wiberg/eedion,Hampus Wiberg/Joshua Voß/Wiberg/eedion,Hampus Wiberg/Joshua Voß/Wiberg/eedion
ZillaKami,ZillaKami,,9.0,True,0,1,ZillaKami,ZillaKami,ZillaKami,ZillaKami,ZillaKami,ZillaKami,ZillaKami
Mbosso,Mbosso,,6.0,True,0,1,Mbosso,Mbosso,Mbosso,Mbosso,Mbosso,Mbosso,Mbosso
Piero Ciampi/Gianfranco Reverberi,Piero Ciampi/Gianfranco Reverberi,,33.0,False,1,3,Piero Ciampi/Gianfranco Reverberi,Piero Ciampi/Gianfranco Reverberi,Piero Ciampi/Gianfranco Reverberi,Piero Ciampi/Gianfranco Reverberi,Piero Ciampi/Gianfranco Reverberi,Piero Ciampi/Gianfranco Reverberi,Piero Ciampi/Gianfranco Reverberi
Ninguno Ninguno,,,15.0,True,0,1,Ninguno Ninguno,Ninguno Ninguno,Ninguno Ninguno,,Ninguno Ninguno,Ninguno Ninguno,
Gary Francois/Serge Ramaekers/Hansbert Vanhove/Copyright Control/Gery Francois,Gary Francois/Serge Ramaekers/Hansbert Vanhove,,78.0,False,4,6,Gary Francois/Serge Ramaekers/Hansbert Vanhove/Copyright Control/Gery Francois,Gary Francois/Serge Ramaekers/Hansbert Vanhove/Copyright Control/Gery Francois,Gary Francois/Serge Ramaekers/Hansbert Vanhove/Copyright Control/Gery Francois,Gary Francois/Serge Ramaekers/Hansbert Vanhove/Gery Francois,Gary Francois/Serge Ramaekers/Hansbert Vanhove/Copyright Control/Gery Francois,Gary Francois/Serge Ramaekers/Hansbert Vanhove/Copyright Control/Gery Francois,Gary Francois/Serge Ramaekers/Hansbert Vanhove/Gery Francois
Nguyễn Minh Anh,,,15.0,False,1,3,Nguyễn Minh Anh,Nguyễn Minh Anh,Nguyễn Minh Anh,Nguyễn Minh Anh,Nguyễn Minh Anh,Nguyễn Minh Anh,Nguyễn Minh Anh
Larry Kimpel,Larry Kimpel,,12.0,True,0,2,Larry Kimpel,Larry Kimpel,Larry Kimpel,Larry Kimpel,Larry Kimpel,Larry Kimpel,Larry Kimpel
Digital Durian & Astro,Digital Durian & Astro,,22.0,False,1,4,Digital Durian & Astro,Digital Durian / Astro,Digital Durian/Astro,Digital Durian/Astro,Digital Durian/Astro,Digital Durian/Astro,Digital Durian/Astro
Xena Aouita & Haja Hamdaouia,Xena Aouita/Haja Hamdaouia,,28.0,False,1,5,Xena Aouita & Haja Hamdaouia,Xena Aouita / Haja Hamdaouia,Xena Aouita/Haja Hamdaouia,Xena Aouita/Haja Hamdaouia,Xena Aouita/Haja Hamdaouia,Xena Aouita/Haja Hamdaouia,Xena Aouita/Haja Hamdaouia
Daniel López Rodríguez & Dora Postigo,Daniel López Rodríguez/Dora Postigo,,37.0,False,3,6,Daniel López Rodríguez & Dora Postigo,Daniel López Rodríguez / Dora Postigo,Daniel López Rodríguez/Dora Postigo,Daniel López Rodríguez/Dora Postigo,Daniel López Rodríguez/Dora Postigo,Daniel López Rodríguez/Dora Postigo,Daniel López Rodríguez/Dora Postigo
JAYLEIN CANTRELL,JAYLEIN CANTRELL,,16.0,True,0,2,JAYLEIN CANTRELL,JAYLEIN CANTRELL,JAYLEIN CANTRELL,JAYLEIN CANTRELL,JAYLEIN CANTRELL,JAYLEIN CANTRELL,JAYLEIN CANTRELL
Heather Evonne Markham,Heather Evonne Markham,,22.0,True,0,3,Heather Evonne Markham,Heather Evonne Markham,Heather Evonne Markham,Heather Evonne Markham,Heather Evonne Markham,Heather Evonne Markham,Heather Evonne Markham
Jane Taylor/Declan Flynn/Copyright Control/Wolfgang Amadeus Mozart,Wolfgang Amadeus Mozart,,66.0,False,3,6,Jane Taylor/Declan Flynn/Copyright Control/Wolfgang Amadeus Mozart,Jane Taylor/Declan Flynn/Copyright Control/Wolfgang Amadeus Mozart,Jane Taylor/Declan Flynn/Copyright Control/Wolfgang Amadeus Mozart,Jane Taylor/Declan Flynn/Wolfgang Amadeus Mozart,Jane Taylor/Declan Flynn/Copyright Control/Wolfgang Amadeus Mozart,Jane Taylor/Declan Flynn/Copyright Control/Wolfgang Amadeus Mozart,Jane Taylor/Declan Flynn/Wolfgang Amadeus Mozart
Pat Fish/Fire Songs,Pat Fish/Fire Songs,,19.0,False,1,3,Pat Fish/Fire Songs,Pat Fish/Fire Songs,Pat Fish/Fire Songs,,Pat Fish/Fire Songs,Pat Fish/Fire Songs,
Aleksandar Dimitrijevic,Aleksandar Dimitrijevic,,23.0,True,0,2,Aleksandar Dimitrijevic,Aleksandar Dimitrijevic,Aleksandar Dimitrijevic,Aleksandar Dimitrijevic,Aleksandar Dimitrijevic,Aleksandar Dimitrijevic,Aleksandar Dimitrijevic
Shinichi Mitsui/Yui Ogura,Shinichi Mitsui/Yui Ogura,,25.0,False,1,3,Shinichi Mitsui/Yui Ogura,Shinichi Mitsui/Yui Ogura,Shinichi Mitsui/Yui Ogura,Shinichi Mitsui/Yui Ogura,Shinichi Mitsui/Yui Ogura,Shinichi Mitsui/Yui Ogura,Shinichi Mitsui/Yui Ogura
M.P Yadav/J.P Tiwari,M.P Yadav/J.P Tiwari,,20.0,False,3,3,M.P Yadav/J.P Tiwari,M.P Yadav/J.P Tiwari,M.P Yadav/J.P Tiwari,M.P Yadav/J.P Tiwari,M.P Yadav/J.P Tiwari,M.P Yadav/J.P Tiwari,M.P Yadav/J.P Tiwari
Loïc Leborgne,Loïc Leborgne,,13.0,False,1,2,Loïc Leborgne,Loïc Leborgne,Loïc Leborgne,Loïc Leborgne,Loïc Leborgne,Loïc Leborgne,Loïc Leborgne
"<Unknown>/Rodriguez Loperena, Osvaldo",Rodriguez Loperena/Osvaldo,,37.0,False,4,3,"<Unknown>/Rodriguez Loperena, Osvaldo",/Rodriguez Loperena/ Osvaldo,Rodriguez Loperena/Osvaldo,Rodriguez Loperena/Osvaldo,Rodriguez Loperena/Osvaldo,Rodriguez Loperena/Osvaldo,Rodriguez Loperena/Osvaldo
Chris Rea,Chris Rea,,9.0,True,0,2,Chris Rea,Chris Rea,Chris Rea,Chris Rea,Chris Rea,Chris Rea,Chris Rea
Ahmad Eerfan,Ahmad Eerfan,,12.0,True,0,2,Ahmad Eerfan,Ahmad Eerfan,Ahmad Eerfan,Ahmad Eerfan,Ahmad Eerfan,Ahmad Eerfan,Ahmad Eerfan
Los Ninos de Yemalla Music SESAC,,,32.0,True,0,6,Los Ninos de Yemalla Music SESAC,Los Ninos de Yemalla Music SESAC,Los Ninos de Yemalla Music SESAC,,Los Ninos de Yemalla Music SESAC,Los Ninos de Yemalla Music SESAC,
Michael Fesser,Michael Fesser,,14.0,True,0,2,Michael Fesser,Michael Fesser,Michael Fesser,Michael Fesser,Michael Fesser,Michael Fesser,Michael Fesser
"Soulja Boy,​​Hoopstar Beats",Soulja Boy/Hoopstar Beats,,27.0,False,3,3,"Soulja Boy,​​Hoopstar Beats",Soulja Boy/​​Hoopstar Beats,Soulja Boy/​​Hoopstar Beats,Soulja Boy/Hoopstar Beats,Soulja Boy/​​Hoopstar Beats,Soulja Boy/​​Hoopstar Beats,Soulja Boy/Hoopstar Beats
حسين حمزة/رفيق حبيقة,,,20.0,False,18,3,حسين حمزة/رفيق حبيقة,حسين حمزة/رفيق حبيقة,حسين حمزة/رفيق حبيقة,,حسين حمزة/رفيق حبيقة,حسين حمزة/رفيق حبيقة,
Eddie James,Eddie James,,11.0,True,0,2,Eddie James,Eddie James,Eddie James,Eddie James,Eddie James,Eddie James,Eddie James
Mario Sandoval,Mario Sandoval,,14.0,True,0,2,Mario Sandoval,Mario Sandoval,Mario Sandoval,Mario Sandoval,Mario Sandoval,Mario Sandoval,Mario Sandoval
Mano Brown/Edi Rock,Mano Brown/Edi Rock,,19.0,False,1,3,Mano Brown/Edi Rock,Mano Brown/Edi Rock,Mano Brown/Edi Rock,Mano Brown/Edi Rock,Mano Brown/Edi Rock,Mano Brown/Edi Rock,Mano Brown/Edi Rock
Laurent Scimeca/Cedric De Pasquale/D&P Mode Music (ASCAP)/Gervais Music Publishing (ASCAP)/Sample Pack,Laurent Scimeca/Cedric De Pasquale/ /Sample Pack,,102.0,False,9,10,Laurent Scimeca/Cedric De Pasquale/D&P Mode Music (ASCAP)/Gervais Music Publishing (ASCAP)/Sample Pack,Laurent Scimeca/Cedric De Pasquale/D/P Mode Music (ASCAP)/Gervais Music Publishing (ASCAP)/Sample Pack,Laurent Scimeca/Cedric De Pasquale/D/P Mode Music (ASCAP)/Gervais Music Publishing (ASCAP)/Sample Pack,Laurent Scimeca/Cedric De Pasquale,Laurent Scimeca/Cedric De Pasquale/D/P Mode Music (ASCAP)/Gervais Music Publishing (ASCAP)/Sample Pack,Laurent Scimeca/Cedric De Pasquale/D/P Mode Music (ASCAP)/Gervais Music Publishing (ASCAP)/Sample Pack,Laurent Scimeca/Cedric De Pasquale
SIMON JOE (USA 1 - CNTRY)/SPEER MARC DAVID,,,42.0,False,4,8,SIMON JOE (USA 1 - CNTRY)/SPEER MARC DAVID,SIMON JOE (USA 1 - CNTRY)/SPEER MARC DAVID,SIMON JOE (USA 1/CNTRY)/SPEER MARC DAVID,SIMON JOE/SPEER MARC DAVID,SIMON JOE (USA 1/CNTRY)/SPEER MARC DAVID,SIMON JOE (USA 1/CNTRY)/SPEER MARC DAVID,SIMON JOE/SPEER MARC DAVID
Adem Ciwan,Adem Ciwan,,10.0,True,0,2,Adem Ciwan,Adem Ciwan,Adem Ciwan,Adem Ciwan,Adem Ciwan,Adem Ciwan,Adem Ciwan
Kid Tune,,,8.0,True,0,2,Kid Tune,Kid Tune,Kid Tune,Kid Tune,Kid Tune,Kid Tune,Kid Tune
Javier San Roman,Javier San Roman,,16.0,True,0,3,Javier San Roman,Javier San Roman,Javier San Roman,Javier San Roman,Javier San Roman,Javier San Roman,Javier San Roman
Larry Gatlin/Jerry Kennedy,Larry Gatlin/Jerry Kennedy,,26.0,False,1,3,Larry Gatlin/Jerry Kennedy,Larry Gatlin/Jerry Kennedy,Larry Gatlin/Jerry Kennedy,Larry Gatlin/Jerry Kennedy,Larry Gatlin/Jerry Kennedy,Larry Gatlin/Jerry Kennedy,Larry Gatlin/Jerry Kennedy
M.S.Bairagi/Surinder Sehaj,M.S.Bairagi/Surinder Sehaj,,26.0,False,3,2,M.S.Bairagi/Surinder Sehaj,M.S.Bairagi/Surinder Sehaj,M.S.Bairagi/Surinder Sehaj,M.S.Bairagi/Surinder Sehaj,M.S.Bairagi/Surinder Sehaj,M.S.Bairagi/Surinder Sehaj,M.S.Bairagi/Surinder Sehaj
Mook Boy,Mook Boy,,8.0,True,0,2,Mook Boy,Mook Boy,Mook Boy,Mook Boy,Mook Boy,Mook Boy,Mook Boy
Heinrich August Marschner/W.A. Wohlbruck,Heinrich August Marschner/W.A. Wohlbruck,,40.0,False,3,4,Heinrich August Marschner/W.A. Wohlbruck,Heinrich August Marschner/W.A. Wohlbruck,Heinrich August Marschner/W.A. Wohlbruck,Heinrich August Marschner/W.A. Wohlbruck,Heinrich August Marschner/W.A. Wohlbruck,Heinrich August Marschner/W.A. Wohlbruck,Heinrich August Marschner/W.A. Wohlbruck
Melvin Schmitz/18 Karat,Melvin Schmitz/18 Karat,,23.0,False,1,3,Melvin Schmitz/18 Karat,Melvin Schmitz/18 Karat,Melvin Schmitz/18 Karat,Melvin Schmitz,Melvin Schmitz/18 Karat,Melvin Schmitz/18 Karat,Melvin Schmitz
Kieran the Light,Kieran the Light,,16.0,True,0,3,Kieran the Light,Kieran the Light,Kieran the Light,Kieran the Light,Kieran the Light,Kieran the Light,Kieran the Light
Joe Reisman/Henry Mancini,Joe Reisman/Henry Mancini,,25.0,False,1,3,Joe Reisman/Henry Mancini,Joe Reisman/Henry Mancini,Joe Reisman/Henry Mancini,Joe Reisman/Henry Mancini,Joe Reisman/Henry Mancini,Joe Reisman/Henry Mancini,Joe Reisman/Henry Mancini
"Katerina Westbrook, Goldi Lux & Kennedy James",Katerina Westbrook/Goldi Lux/ Kennedy James,,45.0,False,2,7,"Katerina Westbrook, Goldi Lux & Kennedy James",Katerina Westbrook/ Goldi Lux / Kennedy James,Katerina Westbrook/Goldi Lux/Kennedy James,Katerina Westbrook/Goldi Lux/Kennedy James,Katerina Westbrook/Goldi Lux/Kennedy James,Katerina Westbrook/Goldi Lux/Kennedy James,Katerina Westbrook/Goldi Lux/Kennedy James
